public_space_name,house_number,house_letter,house_number_addition,postcode,city,gemeente,province,type_address_object,addressable_object,side_address,latitude,longitude,geompoint,geogpoint
Prins Hendrikkade,105,,1,1011AJ,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000783148,f,52.37546042,4.90285704,0101000020407100000000000020CAFD400000000010C31D41,0101000020E61000007A9F9F8E869C1340348A42160F304A40
Prins Hendrikkade,105,,2,1011AJ,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000783149,f,52.37546042,4.90285704,0101000020407100000000000020CAFD400000000010C31D41,0101000020E61000007A9F9F8E869C1340348A42160F304A40
Prins Hendrikkade,105,,H,1011AJ,Amsterdam,Amsterdam,Noord-Holland,VBO,363010001027587,f,52.37546042,4.90285704,0101000020407100000000000020CAFD400000000010C31D41,0101000020E61000007A9F9F8E869C1340348A42160F304A40
Prins Hendrikkade,106,A,,1011AJ,Amsterdam,Amsterdam,Noord-Holland,VBO,363010001163102,f,52.37539739,4.90282836,0101000020407100000000000000CAFD4000000000F4C21D41,0101000020E6100000D191C8097F9C1340E00B84050D304A40
Prins Hendrikkade,106,B,,1011AJ,Amsterdam,Amsterdam,Noord-Holland,VBO,363010001163097,f,52.37540631,4.90281358,01010000204071000000000000F0C9FD4000000000F8C21D41,0101000020E6100000E382B9297B9C1340AE1E67500D304A40
Prins Hendrikkade,106,C,,1011AJ,Amsterdam,Amsterdam,Noord-Holland,VBO,363010001163098,f,52.37541524,4.9027988,01010000204071000000000000E0C9FD4000000000FCC21D41,0101000020E6100000C859AA49779C134075304A9B0D304A40
Prins Hendrikkade,106,D,,1011AJ,Amsterdam,Amsterdam,Noord-Holland,VBO,363010001163099,f,52.37542417,4.90278401,01010000204071000000000000D0C9FD400000000000C31D41,0101000020E61000007E169B69739C134039412DE60D304A40
Prins Hendrikkade,107,,1,1011AJ,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000783153,f,52.37532537,4.90279978,01010000204071000000000000E0C9FD4000000000D4C21D41,0101000020E61000007E31898B779C1340BD7661A90A304A40
Prins Hendrikkade,107,,2,1011AJ,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000966715,f,52.37532537,4.90279978,01010000204071000000000000E0C9FD4000000000D4C21D41,0101000020E61000007E31898B779C1340BD7661A90A304A40
Prins Hendrikkade,107,,3,1011AJ,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000783154,f,52.37532537,4.90279978,01010000204071000000000000E0C9FD4000000000D4C21D41,0101000020E61000007E31898B779C1340BD7661A90A304A40
